RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,WILLI CASTRO,HITTER,SF,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,WILLIAM CONTRERAS,HITTER,PIT,5.0,5.0,2.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,12.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,WILLY ADAMES,HITTER,COL,5.0,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,WILYER ABREU,HITTER,NYM,5.0,4.0,3.0,2.0,2.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,7.0,7.0,28.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,WYATT LANGFORD,HITTER,HOU,4.0,3.0,1.0,2.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,XANDER BOGAERTS,HITTER,TOR,5.0,5.0,1.0,1.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,XAVIER EDWARDS,HITTER,CLE,4.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,YAINER DIAZ,HITTER,TEX,3.0,3.0,1.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,YANDY DÍAZ,HITTER,SEA,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,YORDAN ALVAREZ,HITTER,TEX,4.0,4.0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,17.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ZACH DEZENZO,HITTER,TEX,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
