match_id,name,status,begin_at,end_at,number_of_games,match_type,league_id,league,serie_id,serie,tournament_id,tournament,team1_id,team1,team2_id,team2,winner_id,winner
1540267,Decider match: LPH vs Xept,canceled,,,3,best_of,5078,United21,10716,Season 51 2026,21245,Group B,136786,LPH Gaming,138689,Xept,136786.0,LPH Gaming
1540266,Elimination match: Xept vs CC,canceled,,,3,best_of,5078,United21,10716,Season 51 2026,21245,Group B,138689,Xept,138496,Clutchain,138689.0,Xept
1540262,Decider match: CLS vs ME,canceled,,,3,best_of,5078,United21,10716,Season 51 2026,21244,Group A,129463,Coalesce,137470,Millennium Esports,137470.0,Millennium Esports
1539216,ALKA vs ODK.A,canceled,,,1,best_of,4554,Gamers Club Liga Série A,10694,June 2026,21224,Group D,138276,ALKA GAMING,134542,ODDIK Academy,138276.0,ALKA GAMING
1530795,Lower bracket final: STEP vs CC,canceled,,,3,best_of,5078,United21,10649,Season 50 2026,21198,Playoffs,138778,STEP,138496,Clutchain,138496.0,Clutchain
1527046,Quarterfinal 3: UNiTY vs SHISHKA,canceled,,,3,best_of,5296,Exort Series,10617,Season 27 2026,21177,Playoffs,133063,UNiTY esports,138670,SHISHKA,138670.0,SHISHKA
1526528,Round 1: BB vs EYE,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,133458,BetBoom Team,131189,EYEBALLERS,,
1526527,Round 1: B8 vs NIP,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,129381,B8,3218,NIP,,
1526526,Round 1: 9z vs NEM,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,126709,9z,137289,Team Nemesis,,
1526525,Round 1: 3DMAX vs ALL,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,3318,3DMAX,133725,Alliance,,
1526524,Round 1: MNTE vs MIBR,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,131441,Monte,3250,MIBR,,
1526523,Round 1: PRV vs BIG,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,133719,PARIVISION,3249,BIG,,
1526522,Round 1: LGC vs M80,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,133708,Legacy,133435,M80,,
1526521,Round 1: FaZe vs SIN,canceled,,,1,best_of,5021,XSE Pro League,10685,2026,21197,Group Stage,3212,FaZe,127014,Sinners,,
1526030,RSTR vs DXA,canceled,,,3,best_of,5438,Dfrag,10680,Open Series #5 2026,21185,Group B,127114,Rooster,133211,DXA Esports,,
1526029,SFE vs MGLBROS,canceled,,,3,best_of,5438,Dfrag,10680,Open Series #5 2026,21185,Group B,135428,SemperFi Esports,138511,MGLBROS,,
1525973,Abyssal vs DC,canceled,,,3,best_of,5438,Dfrag,10680,Open Series #5 2026,21184,Group A,138092,Abyssal,138015,Ding Cuts,,
1525951,GZ vs MandL,canceled,,,3,best_of,5438,Dfrag,10680,Open Series #5 2026,21184,Group A,125873,Ground Zero,127125,MARKandLARRY,,
1523331,Lower bracket round 2 match 6: OLDBOYS PL vs bankaPEPSI,canceled,,,3,best_of,4243,ESEA,10487,Advanced Europe season 57 2026,21121,Playoffs,137474,OLDBOYS PL,128935,bankaPEPSI,137474.0,OLDBOYS PL
1519934,Decider match: HS vs Atreides,canceled,,,3,best_of,5232,CCT Europe,10664,Closed Qualifier: Series #4 2026,21155,Group B,133988,HyperSpirit,138026,Atreides,133988.0,HyperSpirit
1519854,DC vs NEW VISION,canceled,,,3,best_of,5232,CCT Europe,10664,Closed Qualifier: Series #4 2026,21157,Group C,138742,DragonClaw,138650,NEW VISION,138650.0,NEW VISION
